2026-03-27 11:30:23 | INFO     | src.ui.node_editor.panel | 拖放添加节点: test.text_input at (-180, -249)
2026-03-27 11:30:28 | INFO     | src.ui.node_editor.panel | 拖放添加节点: text.join at (119, -109)
2026-03-27 11:30:30 | INFO     | src.ui.node_editor.scene | 创建连接: d7b85233...:output -> d55bfb53...:text1
2026-03-27 11:30:37 | INFO     | src.engine.node_engine | 开始执行工作流: 未命名工作流
2026-03-27 11:30:37 | INFO     | src.engine.node_engine | 工作流执行完成: 未命名工作流 - 2/2 成功
2026-03-27 11:30:53 | INFO     | src.ui.node_editor.panel | 拖放添加节点: test.text_input at (242, 136)
2026-03-27 11:30:55 | INFO     | src.ui.node_editor.scene | 创建连接: d55bfb53...:result -> 8ec209a2...:text
2026-03-27 11:30:57 | INFO     | src.engine.node_engine | 开始执行工作流: 未命名工作流
2026-03-27 11:30:57 | INFO     | src.engine.node_engine | 工作流执行完成: 未命名工作流 - 3/3 成功
2026-03-27 11:31:11 | INFO     | src.ui.main_window | 主窗口关闭
2026-03-27 11:31:11 | INFO     | __main__ | 应用关闭中...
2026-03-27 11:31:11 | INFO     | src.core.app_context | 开始关闭 AppContext...
2026-03-27 11:31:11 | INFO     | src.core.plugin_manager | 插件卸载成功: test_widgets
2026-03-27 11:31:11 | INFO     | src.core.plugin_manager | 插件卸载成功: text_processing
2026-03-27 11:31:11 | INFO     | src.core.plugin_manager | 所有插件已卸载
2026-03-27 11:31:11 | INFO     | src.core.event_bus | 已清除所有事件订阅
2026-03-27 11:31:11 | INFO     | src.storage.database | 数据库连接已关闭: data/app.db
2026-03-27 11:31:11 | INFO     | src.core.app_context | AppContext 关闭完成
2026-03-27 11:31:11 | INFO     | __main__ | AppContext 已关闭
2026-03-27 11:31:11 | INFO     | __main__ | ==================================================
2026-03-27 11:31:11 | INFO     | __main__ | 应用退出 (code: 0)
2026-03-27 11:31:11 | INFO     | __main__ | ==================================================
2026-03-27 11:31:32 | INFO     | __main__ | ==================================================
2026-03-27 11:31:32 | INFO     | __main__ | 办公小工具整合平台 启动
2026-03-27 11:31:32 | INFO     | __main__ | ==================================================
2026-03-27 11:31:32 | INFO     | src.core.app_context | 开始初始化 AppContext...
2026-03-27 11:31:32 | INFO     | src.storage.database | 数据库引擎创建: data/app.db
2026-03-27 11:31:32 | INFO     | src.storage.database | 数据库表创建完成: data/app.db
2026-03-27 11:31:32 | INFO     | src.core.app_context | 数据库初始化完成: data/app.db
2026-03-27 11:31:32 | INFO     | src.core.app_context | AppContext 初始化完成
2026-03-27 11:31:32 | INFO     | __main__ | AppContext 初始化完成
2026-03-27 11:31:32 | INFO     | src.core.plugin_manager | 发现插件: test_widgets v1.0.0 (plugins/test_widgets)
2026-03-27 11:31:32 | INFO     | src.core.plugin_manager | 发现插件: text_processing v1.0.0 (plugins/text_processing)
